# Localization Prediction using LocTree3
# Domain: bact
#
# NOTATION Protein Id: Fasta sequences Id truncated by whitespace
# NOTATION Score: Reliability score on a 0-100 scale (0=unreliable & 100=most reliable)
# NOTATION Localization: Predicted sub-cellular localization class
# NOTATION Gene Ontology Terms: Gene Ontology (GO) term/s of the corresponding localization. GO terms predicted by PSI-BLAST are supported by evidence codes (see http://www.geneontology.org/GO.evidence.shtml)
#
# PSI-BLAST annotation based on Swiss-Prot release 2013_11.
# Protein Id	Score	Localization	Gene Ontology Terms
tr|Q5ZZI4|Q5ZZI4_LEGPH	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZXN6|ANKX_LEGPH	100	secreted	host cell cytoplasm GO:0030430(IDA);
tr|Q5ZV23|Q5ZV23_LEGPH	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXX0|Q5ZXX0_LEGPH	7	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZST9|Q5ZST9_LEGPH	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZY64|Q5ZY64_LEGPH	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWE5|Q5ZWE5_LEGPH	33	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZTI1|Q5ZTI1_LEGPH	23	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZS80|Q5ZS80_LEGPH	13	secreted	extracellular region GO:0005576(IEA);
sp|Q5ZYE7|HEMH_LEGPH	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYY1|Q5ZYY1_LEGPH	28	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZWA9|Q5ZWA9_LEGPH	15	periplasm	membrane GO:0016020(IEA); outer membrane-bounded periplasmic space GO:0030288(TAS);
tr|Q5ZSI5|Q5ZSI5_LEGPH	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZT99|Q5ZT99_LEGPH	38	cytoplasm	cytoplasm GO:0005737(IEA); nucleoid GO:0009295(IEA);
tr|Q5ZY88|Q5ZY88_LEGPH	31	inner membrane	integral to external side of plasma membrane GO:0071575(IDA);
tr|Q5ZT19|Q5ZT19_LEGPH	10	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZRU9|Q5ZRU9_LEGPH	35	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZRU8|NUOK_LEGPH	47	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZTY6|METK_LEGPH	65	cytoplasm	cytosol GO:0005829(IDA);
sp|Q5ZTX7|SYR_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYW9|Q5ZYW9_LEGPH	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVU1|Q5ZVU1_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTG8|Q5ZTG8_LEGPH	13	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZX00|AROB_LEGPH	32	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZU97|Q5ZU97_LEGPH	18	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZYB5|Q5ZYB5_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZSY2|KUP3_LEGPH	25	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZRG0|Q5ZRG0_LEGPH	14	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZWD2|Q5ZWD2_LEGPH	22	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUM9|Q5ZUM9_LEGPH	27	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV78|Q5ZV78_LEGPH	16	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTM9|Q5ZTM9_LEGPH	18	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWC0|Q5ZWC0_LEGPH	9	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZX45|DAPD_LEGPH	61	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZXJ2|ALR_LEGPH	15	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZRB8|Q5ZRB8_LEGPH	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXD2|Q5ZXD2_LEGPH	33	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZT13|MDH_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVC4|Q5ZVC4_LEGPH	23	inner membrane	integral to membrane GO:0016021(IBA); plasma membrane GO:0005886(IEA);
tr|Q5ZX68|Q5ZX68_LEGPH	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZYL1|Q5ZYL1_LEGPH	33	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXS3|Q5ZXS3_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTZ3|Q5ZTZ3_LEGPH	17	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZVG5|BIOD_LEGPH	25	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZRQ8|Q5ZRQ8_LEGPH	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZT32|Q5ZT32_LEGPH	16	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|Q5ZW76|Q5ZW76_LEGPH	14	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZXN7|SYP_LEGPH	50	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZYA5|Q5ZYA5_LEGPH	99	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZTD4|Q5ZTD4_LEGPH	5	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZY76|Q5ZY76_LEGPH	26	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWC9|Q5ZWC9_LEGPH	17	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZWB5|Q5ZWB5_LEGPH	9	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZZB1|LPXD1_LEGPH	21	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZUE2|Q5ZUE2_LEGPH	27	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
sp|Q5ZRF3|PAND_LEGPH	37	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZT68|Q5ZT68_LEGPH	19	cytoplasm	cytoplasm GO:0005737(IEA); cytoskeleton GO:0005856(IEA);
tr|Q5ZY44|Q5ZY44_LEGPH	22	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZS65|Q5ZS65_LEGPH	24	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVI6|Q5ZVI6_LEGPH	22	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXD0|Q5ZXD0_LEGPH	30	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVP6|Q5ZVP6_LEGPH	20	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVA0|Q5ZVA0_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
tr|Q5ZY67|Q5ZY67_LEGPH	30	inner membrane	integral to plasma membrane GO:0005887(IDA);
sp|Q5ZW00|RUVA_LEGPH	39	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction helicase complex GO:0009379(IDA);
sp|Q5ZSA3|MURD_LEGPH	34	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZZH8|Q5ZZH8_LEGPH	22	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZXR0|Q5ZXR0_LEGPH	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVM9|Q5ZVM9_LEGPH	45	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZYT1|Q5ZYT1_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZS10|IHFA_LEGPH	64	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV88|Q5ZV88_LEGPH	23	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXG9|Q5ZXG9_LEGPH	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTZ5|Q5ZTZ5_LEGPH	21	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUY4|Q5ZUY4_LEGPH	6	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZUT1|RRF_LEGPH	51	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZD4|Q5ZZD4_LEGPH	35	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZWQ6|Q5ZWQ6_LEGPH	6	inner membrane	integral to membrane GO:0016021(IEA); membrane GO:0016020(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZRR6|Q5ZRR6_LEGPH	22	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZRI1|Q5ZRI1_LEGPH	18	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZU41|Q5ZU41_LEGPH	13	cytoplasm	bacterial nucleoid GO:0043590(IDA); cytoplasm GO:0005737(IEA);
tr|Q5ZUA7|Q5ZUA7_LEGPH	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IDA);
tr|Q5ZVT3|Q5ZVT3_LEGPH	23	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZXE6|ACCA_LEGPH	51	cytoplasm	acetate CoA-transferase complex GO:0009329(IDA);
tr|Q5ZX16|Q5ZX16_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZWE6|Q5ZWE6_LEGPH	28	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZSP9|Q5ZSP9_LEGPH	16	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTE0|Q5ZTE0_LEGPH	12	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZYT4|Q5ZYT4_LEGPH	36	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTI2|Q5ZTI2_LEGPH	10	inner membrane	integral to membrane GO:0016021(IEA); intrinsic to internal side of plasma membrane GO:0031235(IDA);
sp|Q5ZW01|RUVC_LEGPH	44	cytoplasm	cytoplasm GO:0005737(IEA); Holliday junction resolvase complex GO:0048476(IDA);
tr|Q5ZW61|Q5ZW61_LEGPH	10	periplasm	bacterial-type flagellum filament GO:0009420(IEA); periplasmic flagellum GO:0055040(IEA);
tr|Q5ZVN6|Q5ZVN6_LEGPH	5	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZSP2|Q5ZSP2_LEGPH	16	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZYP5|EFTU_LEGPH	78	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWM3|Q5ZWM3_LEGPH	13	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZWS5|Q5ZWS5_LEGPH	23	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZT80|Q5ZT80_LEGPH	62	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZWZ8|Q5ZWZ8_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
sp|Q5ZU30|SETA_LEGPH	100	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZSN6|Q5ZSN6_LEGPH	22	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZW85|Q5ZW85_LEGPH	50	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZSX9|Q5ZSX9_LEGPH	27	outer membrane	cell outer membrane GO:0009279(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZT58|Q5ZT58_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZW92|Q5ZW92_LEGPH	48	cytoplasm	imidazoleglycerol-phosphate synthase complex GO:0009382(IDA);
sp|Q5ZRV4|IF2_LEGPH	47	cytoplasm	cytoplasm GO:0005737(IEA); membrane GO:0016020(IDA);
tr|Q5ZTA0|Q5ZTA0_LEGPH	24	cytoplasm	cytoplasm GO:0005737(IEA);
sp|P37034|Y1691_LEGPH	13	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZYY6|Q5ZYY6_LEGPH	1	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZZF5|Q5ZZF5_LEGPH	3	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV79|Q5ZV79_LEGPH	18	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZYS9|Q5ZYS9_LEGPH	7	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZTX4|Q5ZTX4_LEGPH	5	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZWC8|Q5ZWC8_LEGPH	13	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZSM5|Q5ZSM5_LEGPH	16	cytoplasm	cytosol GO:0005829(IDA);
tr|Q5ZYU7|Q5ZYU7_LEGPH	23	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZUD8|TIG_LEGPH	100	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZX44|Q5ZX44_LEGPH	23	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVV2|Q5ZVV2_LEGPH	12	periplasm	periplasmic flagellum GO:0055040(IEA);
tr|Q5ZWM2|Q5ZWM2_LEGPH	13	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZX41|Q5ZX41_LEGPH	28	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUX8|Q5ZUX8_LEGPH	9	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZV86|Q5ZV86_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXU8|Q5ZXU8_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZX36|Q5ZX36_LEGPH	24	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|Q5ZWY0|Q5ZWY0_LEGPH	5	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZYP6|EFG_LEGPH	65	cytoplasm	cytoplasm GO:0005737(IDA);
tr|Q5ZWE2|Q5ZWE2_LEGPH	9	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZSP7|Q5ZSP7_LEGPH	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXL9|Q5ZXL9_LEGPH	5	secreted	cell wall GO:0005618(IDA); extracellular region GO:0005576(IDA);
tr|Q5ZT44|Q5ZT44_LEGPH	56	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|Q5ZRW6|Q5ZRW6_LEGPH	17	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZWN4|ATP6_LEGPH	14	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA); proton-transporting ATP synthase complex, coupling factor F(o) GO:0045263(IMP);
tr|Q5ZUB4|Q5ZUB4_LEGPH	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZY58|Q5ZY58_LEGPH	16	cytoplasm	cytoplasm GO:0005737(IDA);
sp|Q5ZV96|SYH_LEGPH	46	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVQ6|Q5ZVQ6_LEGPH	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZA5|Q5ZZA5_LEGPH	22	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZX70|Q5ZX70_LEGPH	31	inner membrane	integral to membrane GO:0016021(IEA); outer membrane-bounded periplasmic space GO:0030288(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVD9|Q5ZVD9_LEGPH	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTW7|Q5ZTW7_LEGPH	19	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZSD2|Q5ZSD2_LEGPH	18	secreted	host cell cytoplasm GO:0030430(IEA);
tr|Q5ZVC8|Q5ZVC8_LEGPH	18	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZRS8|Q5ZRS8_LEGPH	6	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTC8|Q5ZTC8_LEGPH	9	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZR90|Q5ZR90_LEGPH	24	cytoplasm	cytoplasm GO:0005737(ISS);
sp|Q5ZSC5|FMT_LEGPH	26	cytoplasm	cytoplasmic membrane-bounded vesicle GO:0016023(IEA);
tr|Q5ZXS2|Q5ZXS2_LEGPH	8	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
sp|Q5ZS09|SYFB_LEGPH	34	cytoplasm	cytoplasm GO:0005737(IDA); membrane GO:0016020(IDA);
tr|Q5ZTT3|Q5ZTT3_LEGPH	18	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZZG3|Q5ZZG3_LEGPH	27	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXD3|Q5ZXD3_LEGPH	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTT2|Q5ZTT2_LEGPH	10	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZRZ7|Q5ZRZ7_LEGPH	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZT49|Q5ZT49_LEGPH	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV66|Q5ZV66_LEGPH	38	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IDA);
tr|Q5ZYA3|Q5ZYA3_LEGPH	30	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZUD3|Q5ZUD3_LEGPH	39	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZW82|Q5ZW82_LEGPH	47	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZSP8|Q5ZSP8_LEGPH	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVA3|Q5ZVA3_LEGPH	41	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVG0|Q5ZVG0_LEGPH	36	cytoplasm	cytoplasm GO:0005737(IEA); mismatch repair complex GO:0032300(IGI);
sp|Q5ZS74|UVRC_LEGPH	38	cytoplasm	cytoplasm GO:0005737(IEA); excinuclease repair complex GO:0009380(IEA);
tr|Q5ZUG0|Q5ZUG0_LEGPH	16	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZXP6|RIMO_LEGPH	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXI2|Q5ZXI2_LEGPH	32	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZX62|Q5ZX62_LEGPH	6	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZVU2|SYL_LEGPH	48	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZW95|Q5ZW95_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZVS6|Q5ZVS6_LEGPH	61	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZZD9|UVRB_LEGPH	64	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZX63|Q5ZX63_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZI9|Q5ZZI9_LEGPH	27	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZZ17|KATG2_LEGPH	100	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZZ07|Q5ZZ07_LEGPH	16	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZWA3|KDSA_LEGPH	40	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZU90|Q5ZU90_LEGPH	11	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZV11|Q5ZV11_LEGPH	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV98|Q5ZV98_LEGPH	21	periplasm	periplasmic space GO:0042597(IEA);
tr|Q5ZVM8|Q5ZVM8_LEGPH	23	cytoplasm	cytoplasm GO:0005737(IMP);
tr|Q5ZT82|Q5ZT82_LEGPH	16	cytoplasm	cytoplasm GO:0005737(NAS);
tr|Q5ZVZ4|Q5ZVZ4_LEGPH	21	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
tr|Q5ZYG8|Q5ZYG8_LEGPH	12	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZTD5|Q5ZTD5_LEGPH	27	cytoplasm	acetate CoA-transferase complex GO:0009329(IDA);
tr|Q5ZS40|Q5ZS40_LEGPH	13	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXB6|Q5ZXB6_LEGPH	41	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXK1|Q5ZXK1_LEGPH	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
sp|Q5ZV69|TOLB_LEGPH	27	periplasm	membrane GO:0016020(IEA); outer membrane-bounded periplasmic space GO:0030288(IDA);
tr|Q5ZWC2|Q5ZWC2_LEGPH	15	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVU6|Q5ZVU6_LEGPH	23	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXT2|Q5ZXT2_LEGPH	15	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZC3|Q5ZZC3_LEGPH	10	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA);
tr|Q5ZXX8|Q5ZXX8_LEGPH	52	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUW8|Q5ZUW8_LEGPH	24	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZY77|ARLY_LEGPH	8	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZZ73|Q5ZZ73_LEGPH	55	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZYV4|Q5ZYV4_LEGPH	8	inner membrane	Gram-negative-bacterium-type cell wall GO:0009276(IEA); integral to membrane GO:0016021(IEA); intrinsic to external side of plasma membrane, in periplasmic space GO:0031237(IDA);
tr|Q5ZSQ0|Q5ZSQ0_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZR85|Q5ZR85_LEGPH	8	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZVB6|Q5ZVB6_LEGPH	35	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZYS5|Q5ZYS5_LEGPH	11	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZTG4|Q5ZTG4_LEGPH	8	inner membrane	integral to plasma membrane GO:0005887(IEA);
tr|Q5ZRE8|Q5ZRE8_LEGPH	14	cytoplasm	cytoplasm GO:0005737(IEA); type III protein secretion system complex GO:0030257(IEA);
tr|Q5ZVL3|Q5ZVL3_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV45|Q5ZV45_LEGPH	22	periplasm	periplasmic space GO:0042597(IDA);
tr|Q5ZX83|Q5ZX83_LEGPH	30	inner membrane	integral to membrane GO:0016021(IDA); plasma membrane GO:0005886(IEA);
tr|Q5ZVR1|Q5ZVR1_LEGPH	62	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZY33|Q5ZY33_LEGPH	5	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZZ27|Q5ZZ27_LEGPH	5	periplasm	membrane GO:0016020(IDA); periplasmic space GO:0042597(IEA);
tr|Q5ZWX5|Q5ZWX5_LEGPH	10	periplasm	ATP-binding cassette (ABC) transporter complex GO:0043190(ISS); outer membrane-bounded periplasmic space GO:0030288(EXP);
sp|Q5ZVP8|PLSX_LEGPH	32	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZUR3|Q5ZUR3_LEGPH	38	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZV44|Q5ZV44_LEGPH	16	cytoplasm	cytoplasm GO:0005737(IDA);
sp|Q5ZRU5|NUOH_LEGPH	37	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZW63|Q5ZW63_LEGPH	20	secreted	extracellular region GO:0005576(IEA);
tr|Q5ZTI9|Q5ZTI9_LEGPH	18	cytoplasm	cytoplasm GO:0005737(IEA);
sp|Q5ZV33|PROA_LEGPH	27	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZV68|Q5ZV68_LEGPH	18	secreted	cell wall GO:0005618(IEA); extracellular region GO:0005576(IEA);
tr|Q5ZWR0|Q5ZWR0_LEGPH	17	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZX56|Q5ZX56_LEGPH	27	inner membrane	integral to plasma membrane GO:0005887(IDA);
tr|Q5ZVV9|Q5ZVV9_LEGPH	31	periplasm	integral to external side of plasma membrane GO:0071575(ISA); periplasmic space GO:0042597(IDA);
tr|Q5ZVR2|Q5ZVR2_LEGPH	12	inner membrane	integral to membrane GO:0016021(IDA); integral to plasma membrane GO:0005887(IEA);
tr|Q5ZTM3|Q5ZTM3_LEGPH	12	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXQ3|Q5ZXQ3_LEGPH	18	periplasm	outer membrane-bounded periplasmic space GO:0030288(IEA); periplasmic space GO:0042597(IDA);
sp|Q5ZY59|SYS_LEGPH	14	cytoplasm	cytoplasm GO:0005737(IEA);
tr|Q5ZXN9|Q5ZXN9_LEGPH	15	cytoplasm	chromosome GO:0005694(IEA); cytoplasm GO:0005737(IEA);
sp|Q5ZVL0|UBIA_LEGPH	29	inner membrane	integral to membrane GO:0016021(IEA); plasma membrane GO:0005886(IEA);
tr|Q5ZXI4|Q5ZXI4_LEGPH	16	cytoplasm	cytosol GO:0005829(IDA);
tr|A0A572|A0A572_LEGPH	33	periplasm	periplasmic space GO:0042597(IEA);
