#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2E4BDDA5ACDA446D-1D80ECF6396A17BB
#datatype	hitsFull Results
#status	0
#Start time	2018-01-18T14:38:14	Run time	0:00:00:23
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	235162	76	204	0.000211827	43.425	PRK03815	murD	C	cl27880
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	178501	281	370	0.0017235	40.573	PLN02913	PLN02913	NC	cl27336
Q#7 - > Q5ZSA5 | lpg2614 length= 469	superfamily	332157	281	370	0.0017235	40.573	cl27336	FolC superfamily	NC	 - 
Q#7 - > Q5ZSA5 | lpg2614 length= 469	non-specific	237026	118	455	0.00288837	39.9409	PRK11930	PRK11930	C	cl27635
Q#7 - > Q5ZSA5 | lpg2614 length= 469	superfamily	332456	118	455	0.00288837	39.9409	cl27635	Ala_racemase_C superfamily	C	 - 
Q#8 - > Q5ZSA3 | lpg2616 length= 447	specific	235160	1	447	0	737.504	PRK03803	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	superfamily	332701	1	447	0	737.504	cl27880	PRK14016 superfamily	 - 	 - 
Q#8 - > Q5ZSA3 | lpg2616 length= 447	specific	223842	7	447	3.28028e-167	477.542	COG0771	MurD	 - 	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	superfamily	332700	7	447	3.28028e-167	477.542	cl27879	Mur_ligase_M superfamily	 - 	 - 
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	179651	7	441	2.72124e-150	433.985	PRK03806	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	234995	7	447	6.62196e-149	432.93	PRK02006	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	273436	7	445	5.07974e-139	405.185	TIGR01087	murD	 - 	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	184511	7	447	3.94202e-135	395.879	PRK14106	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	179871	7	441	3.3058e-122	362.556	PRK04663	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	167786	7	447	1.34607e-120	358.813	PRK04308	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	235041	7	447	1.75377e-108	327.576	PRK02472	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	234950	6	447	1.30551e-101	310.622	PRK01390	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	179297	7	447	8.73505e-100	306.615	PRK01438	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	235059	4	440	2.69076e-96	296.817	PRK02705	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	179323	8	447	2.25981e-95	294.27	PRK01710	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	234662	7	447	6.58933e-76	244.677	PRK00141	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	179571	7	447	2.78079e-73	238.107	PRK03369	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	179086	1	445	6.00417e-69	224.691	PRK00683	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	179286	8	440	1.65727e-55	190.437	PRK01368	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	235162	1	447	3.73884e-53	182.867	PRK03815	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	179872	69	440	5.65728e-53	184.25	PRK04690	murD	 - 	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	specific	285457	110	278	4.14429e-28	109.675	pfam08245	Mur_ligase_M	 - 	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	273468	99	420	4.76408e-23	100.418	TIGR01143	murF	 - 	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	223841	101	420	1.1881e-21	96.6018	COG0770	MurF	N	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	223840	106	311	2.1899e-18	86.9922	COG0769	MurE	C	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	234660	107	218	3.59222e-16	80.1759	PRK00139	murE	NC	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	273433	10	351	1.10449e-15	78.5019	TIGR01082	murC	C	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	273435	107	205	7.02315e-15	76.2008	TIGR01085	murE	C	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	237025	30	419	1.06941e-14	76.2812	PRK11929	PRK11929	N	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	223844	10	351	1.31954e-13	72.2284	COG0773	MurC	C	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	237025	72	205	6.43269e-13	70.8884	PRK11929	PRK11929	C	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	234757	10	419	1.00985e-09	60.132	PRK00421	murC	 - 	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	237588	108	213	8.69448e-08	53.8876	PRK14022	PRK14022	NC	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	237586	106	303	3.11606e-06	49.3845	PRK14016	PRK14016	N	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	308491	307	392	5.70571e-05	41.5563	pfam02875	Mur_ligase_C	 - 	cl27335
Q#8 - > Q5ZSA3 | lpg2616 length= 447	superfamily	332156	307	392	5.70571e-05	41.5563	cl27335	Mur_ligase_C superfamily	 - 	 - 
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	182718	75	374	9.10279e-05	44.2518	PRK10773	murF	 - 	cl27879
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	273950	106	237	0.000272536	43.2302	TIGR02068	cya_phycin_syn	NC	cl27880
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	223362	102	136	0.00170525	40.3234	COG0285	FolC	C	cl27336
Q#8 - > Q5ZSA3 | lpg2616 length= 447	superfamily	332157	102	136	0.00170525	40.3234	cl27336	FolC superfamily	C	 - 
Q#8 - > Q5ZSA3 | lpg2616 length= 447	non-specific	273659	106	136	0.00715362	38.418	TIGR01499	folC	C	cl27336
Q#9 - > Q5ZSA2 | lpg2617 length= 361	specific	234638	16	361	0	548.97	PRK00108	mraY	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	superfamily	324607	16	361	0	548.97	cl10571	GT_MraY-like superfamily	 - 	 - 
Q#9 - > Q5ZSA2 | lpg2617 length= 361	specific	161884	38	361	4.78169e-139	397.586	TIGR00445	mraY	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	specific	133462	61	357	1.38473e-137	392.236	cd06852	GT_MraY	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	specific	223548	20	361	3.22153e-86	262.975	COG0472	Rfe	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	173117	34	355	3.1746e-52	175.083	PRK14654	mraY	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	173118	31	349	1.29788e-44	155.466	PRK14655	mraY	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	133460	70	281	2.20885e-34	124.721	cd06499	GT_MraY-like	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	133463	71	306	7.80802e-30	114.508	cd06853	GT_WecA_like	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	specific	307205	98	283	5.84956e-29	109.597	pfam00953	Glycos_transf_4	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	133464	71	306	1.06669e-20	89.6096	cd06854	GT_WbpL_WbcO_like	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	133466	68	318	4.24155e-20	88.4587	cd06856	GT_GPT_archaea	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	133467	71	281	1.05618e-13	68.8078	cd06912	GT_MraY_like	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	133461	156	283	4.15844e-10	59.0492	cd06851	GT_GPT_like	N	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	133465	75	314	0.000152631	42.6188	cd06855	GT_GPT_euk	 - 	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	131433	72	274	0.000167316	42.7607	TIGR02380	ECA_wecA	C	cl10571
Q#9 - > Q5ZSA2 | lpg2617 length= 361	non-specific	313721	68	80	0.00316338	34.575	pfam10555	MraY_sig1	 - 	cl11184
Q#9 - > Q5ZSA2 | lpg2617 length= 361	superfamily	313721	68	80	0.00316338	34.575	cl11184	MraY_sig1 superfamily	 - 	 - 
Q#10 - > Q5ZSA1 | lpg2618 length= 461	specific	273468	41	453	1.06605e-162	465.587	TIGR01143	murF	 - 	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	superfamily	332700	41	453	1.06605e-162	465.587	cl27879	Mur_ligase_M superfamily	 - 	 - 
Q#10 - > Q5ZSA1 | lpg2618 length= 461	specific	223841	36	457	1.65628e-159	458.689	COG0770	MurF	 - 	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	182718	19	456	5.68975e-150	434.459	PRK10773	murF	 - 	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	237025	26	457	5.81581e-143	432.591	PRK11929	PRK11929	N	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	184501	34	458	4.10447e-77	248.151	PRK14093	PRK14093	 - 	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	237026	33	458	5.51508e-67	229.074	PRK11930	PRK11930	C	cl27635
Q#10 - > Q5ZSA1 | lpg2618 length= 461	superfamily	332456	33	458	5.51508e-67	229.074	cl27635	Ala_racemase_C superfamily	C	 - 
Q#10 - > Q5ZSA1 | lpg2618 length= 461	specific	285457	119	296	1.55262e-47	162.063	pfam08245	Mur_ligase_M	 - 	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	234660	35	370	2.23368e-39	147.586	PRK00139	murE	C	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	237025	34	374	8.53156e-39	149.854	PRK11929	PRK11929	C	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	273435	33	374	9.63108e-35	134.751	TIGR01085	murE	C	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	223840	34	377	5.9775e-32	127.053	COG0769	MurE	 - 	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	223842	106	370	1.00107e-23	102.743	COG0771	MurD	NC	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	223844	65	342	4.93922e-23	101.118	COG0773	MurC	C	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	234757	116	342	8.84223e-22	97.1111	PRK00421	murC	NC	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	235041	114	328	2.58277e-19	89.9079	PRK02472	murD	NC	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	superfamily	332701	114	328	2.58277e-19	89.9079	cl27880	PRK14016 superfamily	NC	 - 
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	273436	92	356	7.14681e-17	82.3882	TIGR01087	murD	C	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	307401	36	108	1.69758e-16	73.7847	pfam01225	Mur_ligase	 - 	cl21454
Q#10 - > Q5ZSA1 | lpg2618 length= 461	superfamily	328723	36	108	1.69758e-16	73.7847	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	234950	105	328	2.19595e-16	81.0428	PRK01390	murD	NC	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	237588	36	377	5.67026e-16	79.696	PRK14022	PRK14022	C	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	273433	61	342	2.95332e-15	77.3463	TIGR01082	murC	C	cl27879
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	184511	90	328	2.73106e-14	74.2369	PRK14106	murD	C	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	273950	114	374	2.60279e-10	62.4902	TIGR02068	cya_phycin_syn	N	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	235160	92	368	2.79773e-10	61.8635	PRK03803	murD	C	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	179872	99	362	4.97525e-10	60.9862	PRK04690	murD	NC	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	179286	91	359	5.282e-10	61.0097	PRK01368	murD	C	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	179297	113	321	6.93884e-10	60.8581	PRK01438	murD	NC	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	235059	89	360	2.23209e-09	59.1489	PRK02705	murD	C	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	167786	114	374	1.66612e-08	56.4312	PRK04308	murD	NC	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	179323	113	296	2.18274e-08	55.8319	PRK01710	murD	NC	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	179651	92	355	4.63402e-08	54.9482	PRK03806	murD	C	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	237586	114	330	1.76785e-07	53.2365	PRK14016	PRK14016	N	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	308491	324	396	2.28878e-07	48.1047	pfam02875	Mur_ligase_C	C	cl27335
Q#10 - > Q5ZSA1 | lpg2618 length= 461	superfamily	332156	324	396	2.28878e-07	48.1047	cl27335	Mur_ligase_C superfamily	C	 - 
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	184752	89	328	4.23744e-07	52.1267	PRK14573	PRK14573	C	cl27335
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	234662	116	321	8.32091e-07	50.9218	PRK00141	murD	NC	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	234995	42	233	1.20754e-05	47.345	PRK02006	murD	C	cl27880
Q#10 - > Q5ZSA1 | lpg2618 length= 461	non-specific	179871	114	359	9.93288e-05	44.3816	PRK04663	murD	NC	cl27880
